OD,strain,ODb,biomass,time,carbon
0.043,ptsG,0.006812841530054389,2.7183237704917013e-05,0.9888888888888889,s
0.043,ptsG,0.006812841530054389,2.7183237704917013e-05,1.2388888888888887,s
0.044,ptsG,0.00781284153005439,3.117323770491702e-05,1.4888888888888887,s
0.045,ptsG,0.008812841530054391,3.5163237704917024e-05,1.7388888888888887,s
0.045,ptsG,0.008812841530054391,3.5163237704917024e-05,1.9888888888888887,s
0.045,ptsG,0.008812841530054391,3.5163237704917024e-05,2.238888888888889,s
0.046,ptsG,0.009812841530054392,3.9153237704917025e-05,2.488888888888889,s
0.047,ptsG,0.010812841530054393,4.3143237704917026e-05,2.738888888888889,s
0.048,ptsG,0.011812841530054394,4.7133237704917033e-05,2.988888888888889,s
0.048,ptsG,0.011812841530054394,4.7133237704917033e-05,3.238888888888889,s
0.049,ptsG,0.012812841530054395,5.1123237704917034e-05,3.488888888888889,s
0.051,ptsG,0.01481284153005439,5.9103237704917015e-05,3.738888888888889,s
0.052,ptsG,0.01581284153005439,6.309323770491702e-05,3.988888888888889,s
0.053,ptsG,0.01681284153005439,6.708323770491702e-05,4.238888888888889,s
0.055,ptsG,0.018812841530054393,7.506323770491703e-05,4.488888888888889,s
0.056,ptsG,0.019812841530054394,7.905323770491703e-05,4.738888888888889,s
0.058,ptsG,0.021812841530054396,8.703323770491703e-05,4.988888888888889,s
0.06,ptsG,0.02381284153005439,9.501323770491702e-05,5.238888888888889,s
0.062,ptsG,0.025812841530054392,0.00010299323770491702,5.488888888888889,s
0.066,ptsG,0.029812841530054396,0.00011895323770491704,5.738888888888889,s
0.069,ptsG,0.0328128415300544,0.00013092323770491705,5.988888888888889,s
0.072,ptsG,0.03581284153005439,0.000142893237704917,6.238888888888889,s
0.076,ptsG,0.03981284153005439,0.000158853237704917,6.488888888888889,s
0.08,ptsG,0.043812841530054394,0.00017481323770491704,6.738888888888889,s
0.085,ptsG,0.0488128415300544,0.00019476323770491706,6.988888888888889,s
0.09,ptsG,0.05381284153005439,0.000214713237704917,7.238888888888889,s
0.097,ptsG,0.060812841530054396,0.00024264323770491702,7.488888888888889,s
0.106,ptsG,0.06981284153005439,0.000278553237704917,7.738888888888889,s
0.116,ptsG,0.0798128415300544,0.00031845323770491706,7.988888888888889,s
0.126,ptsG,0.0898128415300544,0.000358353237704917,8.238888888888889,s
0.136,ptsG,0.0998128415300544,0.00039825323770491705,8.488888888888889,s
0.148,ptsG,0.11181284153005439,0.000446133237704917,8.738888888888889,s
0.165,ptsG,0.1288128415300544,0.000513963237704917,8.988888888888889,s
0.177,ptsG,0.14081284153005438,0.000561843237704917,9.238888888888889,s
0.167,ptsG,0.1308128415300544,0.000521943237704917,9.488888888888889,s
0.171,ptsG,0.1348128415300544,0.000537903237704917,9.738888888888889,s
0.187,ptsG,0.1508128415300544,0.000601743237704917,9.988888888888889,s
0.218,ptsG,0.1818128415300544,0.0007254332377049171,10.238888888888889,s
0.251,ptsG,0.2148128415300544,0.0008571032377049171,10.488888888888889,s
0.287,ptsG,0.25081284153005434,0.0010007432377049168,10.738888888888889,s
0.312,ptsG,0.27581284153005436,0.0011004932377049169,10.988888888888889,s
0.336,ptsG,0.2998128415300544,0.001196253237704917,11.238888888888889,s
0.364,ptsG,0.3278128415300544,0.001307973237704917,11.488888888888889,s
0.388,ptsG,0.35181284153005443,0.0014037332377049173,11.738888888888889,s
0.414,ptsG,0.37781284153005434,0.001507473237704917,11.988888888888889,s
0.431,ptsG,0.39481284153005436,0.001575303237704917,12.238888888888889,s
0.453,ptsG,0.4168128415300544,0.0016630832377049168,12.488888888888889,s
0.471,ptsG,0.4348128415300544,0.001734903237704917,12.738888888888889,s
0.489,ptsG,0.4528128415300544,0.001806723237704917,12.988888888888889,s
0.502,ptsG,0.4658128415300544,0.001858593237704917,13.238888888888889,s
0.516,ptsG,0.47981284153005443,0.0019144532377049174,13.488888888888889,s
0.528,ptsG,0.49181284153005445,0.001962333237704917,13.738888888888889,s
0.542,ptsG,0.5058128415300545,0.0020181932377049175,13.988888888888889,s
