OD,strain,ODb,biomass,time,carbon
0.037,B,0.0006038251366117242,2.40926229508078e-06,0.0,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,0.2388888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,0.4888888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,0.7388888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,0.9888888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,1.2388888888888887,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,1.4888888888888887,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,1.7388888888888887,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,1.9888888888888887,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,2.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,2.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,2.738888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,2.988888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,3.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,3.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,3.738888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,3.988888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,4.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,4.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,4.738888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,4.988888888888889,nan
0.036,B,-0.0003961748633882767,-1.580737704919224e-06,5.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,5.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,5.738888888888889,nan
0.036,B,-0.0003961748633882767,-1.580737704919224e-06,5.988888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,6.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,6.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,6.738888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,6.988888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,7.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,7.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,7.738888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,7.988888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,8.238888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,8.488888888888889,nan
0.037,B,0.0006038251366117242,2.40926229508078e-06,8.738888888888889,nan
0.036,B,-0.0003961748633882767,-1.580737704919224e-06,8.988888888888889,nan
